"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1220","Insights-Worker - Filter button should be disable until user select any filter option","","2026-05-11","passed","2026-05-11","","Insight Worker - Filter Functionality","",""
"","1334","Insight-Worker - Validate checked columns appear in table in same pattern","","2026-05-11","passed","2026-05-11","","Insight-worker Module - column","",""
"","6191","Insights-Worker - Validate company general details match API data","","2026-05-11","passed","2026-05-11","","Insights Worker - Worker Profile View","",""
"","2784","Editing the existing document and add a jpeg document","","2026-05-11","passed","2026-05-11","","Worker Module - Documents Page","",""
"","3651","Insights-Company - Verify Avg Daily Work Hours tooltip on hover","","2026-05-11","passed","2026-05-11","","Insights Company - Workforce Dashboard Cards","",""
"","6218","Insights-Worker - Verify selected company name appears in onsite selection panel","","2026-05-11","passed","2026-05-11","","Insights Worker - Worker Profile View","",""
"","34808","Should verify all safety alert filters display the correct alert types","","2026-05-11","passed","2026-05-11","","Worker Module - Safety Audit","",""
"","1786","Should not allow adding document which expire date is already done","","2026-05-11","passed","2026-05-11","","Worker Module - Documents Page","",""
"","10595","Insights-Worker - Verify search by worker name supports Case Insensitivity (Uppercase, Lowercase, Mixed Case)","","2026-05-11","passed","2026-05-11","","Insight Worker - Search ","",""
"","3429","Validating search functionality with job title in use","","2026-05-11","passed","2026-05-11","","Worker Module - Search","",""
"","23527","Adding company with worker uploading feature","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Add Company","",""
"","857","Verify red dot indicator appears on filter icon when filter is applied","","2026-05-11","passed","2026-05-11","","Worker Module - Filter","",""
"","32809","validating the ui of add comment","","2026-05-11","failed","2026-05-11","","Worker Module - Safety Audit","",""
"","1714","WorkForce-Company - Verify ellipsis appears when total pages exceed threshold","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - Pagination","",""
"","2714","Verify Empty table state for Empty Filter Results","","2026-05-11","passed","2026-05-11","","Worker Module - Filter","",""
"","6633","Verify toggling a column OFF does not display it in the workers table","","2026-05-11","passed","2026-05-11","","Worker Module - Column","",""
"","2027","should validate worker phone number","","2026-05-11","passed","2026-05-11","","Insight Worker - Filter Functionality","",""
"","3914","WorkForce-Company - should show the overflow option when no worker is selected","","2026-05-11","passed","2026-05-11","","WorkForce Companies Module - overflow menu","",""
"","1321","Should restrict worker image upload to PNG, JPG, JPEG","","2026-05-11","passed","2026-05-11","","Worker Module - Add Worker Tests","",""
"","6346","Insights-Worker - Verify company full profile opens with correct details","","2026-05-11","passed","2026-05-11","","Insights Worker - Worker Profile View","",""
"","36437","Insights-Company - Validate most active zones for selected company","","2026-05-11","failed","2026-05-11","","Insights Company - Insights Company Info-card","",""
"","4476","Insights - Companies - Verify sorting functionality","","2026-05-11","passed","2026-05-11","","Companies Insights - Filter Functionality","",""
"","3929","Insights-Worker - Verify MWBE Filter","","2026-05-11","passed","2026-05-11","","Insight Worker - Filter Functionality","",""
"","10253","Insight-Company - Clicking on-site today icon should navigate to workers page with correct filters applied","","2026-05-11","passed","2026-05-11","","Insights Companies Module - Selection Functionality","",""
"","1020"," - Verify page scroll resets to top after navigating between pages","","2026-05-11","passed","2026-05-11","","Insights-Companies Module - Pagination","",""
"","2912","Insight-Company - Verify Company Row Status Colors Match Expected Values","","2026-05-11","passed","2026-05-11","","Insights Company - Company Profile View","",""
"","8379","WorkForce-Company - Verify total workers count matches workers list data","","2026-05-11","passed","2026-05-11","","Companies Module - Worker Stepper","",""
"","18768","Insights-Company - Verify Safety Alert filter functionality","","2026-05-11","passed","2026-05-11","","Companies Insights - Filter Functionality","",""
"","1336","Verify clicking page numbers navigates to correct page","","2026-05-11","passed","2026-05-11","","Worker Module - Pagination","",""
